"","Unregularized","Regularized","Regularized1D"
"Accuracy","0.833","0.834","0.82"
"Variance","0.0192, 0.0218","0.00832, 0.00843","0.0101, 0.00988"
"MAPLE-PF","0.0241, NA","0.0133, 0.0131","0.0195, 0.0189"
"MAPLE-NF","0.0348, 0.0395","0.018, 0.0177","0.025, 0.0241"
"MAPLE-Stability","0.341, 0.366","0.133, 0.13","0.158, 0.16"
"LIME-PF","0.177, 0.198","0.05, 0.05","0.0838, 0.0812"
"LIME-NF","0.182, 0.205","0.051, 0.051","0.0852, 0.0825"
"LIME-Stability","0.0255, 0.0289","0.00473, 0.00469","0.00763, NA"
