"","Unregularized","Regularized","Regularized1D"
"Accuracy","0.0031","0.00129","0.00227"
"Variance","0.00423, 0.00731","0.0033, 0.00339","0.00149, 0.000927"
"MAPLE-PF","0.00767, 0.0107","0.00467, 0.00447","0.00215, 0.00236"
"MAPLE-NF","0.00998, 0.0144","0.00588, NA","0.00266, NA"
"MAPLE-Stability","0.0643, 0.18","0.0796, 0.0705","0.0384, 0.0356"
"LIME-PF","0.0632, 0.0776","0.0321, 0.0301","0.0109, 0.00961"
"LIME-NF","0.0645, 0.08","0.0329, 0.0308","0.011, 0.00981"
"LIME-Stability","0.0084, 0.0121","0.00407, 0.00432","0.000708, 0.000475"
