,lime_stability_metric,maple_standard_metric,variance,test_acc,lime_standard_metric,maple_stability_metric,maple_causal_metric,lime_causal_metric
autompgs,[0.00056303],[0.00884291],[0.00142734],0.02656763737713124,[0.01140196],[0.00994837],[0.00969079],[0.01177278]
communities,[0.00253692],[0.02058101],[0.00060308],0.053025535491893844,[0.01315557],[0.20209513],[0.03659381],[0.01247972]
day,[2.12966927e-05],[0.00031382],[0.00017815],0.0003136264361254309,[0.00036827],[8.24116039e-07],[0.00031836],[0.0003585]
housing,[0.00118019],[0.02396831],[0.00216089],0.05095824631389571,[0.03594499],[0.14354673],[0.02383786],[0.03748228]
music,[0.0045616],[0.06441943],[0.00142647],0.0845521037584411,[0.03653889],[0.06079285],[0.06656724],[0.03658705]
winequality-red,[0.00057257],[0.00781245],[0.00098362],0.058021710928799826,[0.01348984],[0.00198762],[0.00791254],[0.01357465]
