,stddev_eval,stddev_reg,weight_reg,mse,lime
0,0.1,0.1,0.0,0.1566718963906169,0.12226434328419773
1,0.1,0.1,0.0001,0.12898436300456523,0.11395186084366382
2,0.1,0.1,0.001,0.13827576152980328,0.11979230533990057
3,0.1,0.1,0.01,0.15111942552030086,0.0537741398483324
4,0.1,0.1,0.1,0.24598944187164307,0.017114721880951454
5,0.1,0.1,0.25,0.34298128485679624,0.00786157415314461
6,0.1,0.25,0.0,0.13909140340983867,0.12541360186844475
7,0.1,0.25,0.0001,0.1438047554343939,0.12172323859377802
8,0.1,0.25,0.001,0.13094373419880867,0.09091262824260105
9,0.1,0.25,0.01,0.17187730483710767,0.05411474744417884
10,0.1,0.25,0.1,0.24842465668916702,0.009918537232890063
11,0.1,0.25,0.25,0.2964816503226757,0.004470419443015969
12,0.1,0.5,0.0,0.1500182542949915,0.12556291949446846
13,0.1,0.5,0.0001,0.12991577200591564,0.12171055198698462
14,0.1,0.5,0.001,0.1602370146661997,0.08046588184171133
15,0.1,0.5,0.01,0.18055097460746766,0.03217991912763625
16,0.1,0.5,0.1,0.2699963465332985,0.003054645454870172
17,0.1,0.5,0.25,0.33581690639257433,0.0011771435564139551
18,0.25,0.1,0.0,0.13148409873247147,0.1310127387358477
19,0.25,0.1,0.0001,0.13070817328989506,0.13996880920799895
20,0.25,0.1,0.001,0.1269301287829876,0.11787296464903083
21,0.25,0.1,0.01,0.1708696823567152,0.06262712117753841
22,0.25,0.1,0.1,0.21675429455935954,0.01783337850736968
23,0.25,0.1,0.25,0.362372425198555,0.007994016333135656
24,0.25,0.25,0.0,0.1578077532351017,0.1282662915564426
25,0.25,0.25,0.0001,0.16035492718219757,0.1137420327356222
26,0.25,0.25,0.001,0.1527399502694607,0.0913907657343032
27,0.25,0.25,0.01,0.17806610837578773,0.057045123034481136
28,0.25,0.25,0.1,0.23636174350976943,0.012054889602891606
29,0.25,0.25,0.25,0.2963541969656944,0.004820571841769699
30,0.25,0.5,0.0,0.14322641156613827,0.14312779382727014
31,0.25,0.5,0.0001,0.14224954694509506,0.12624936009172583
32,0.25,0.5,0.001,0.1638259720057249,0.08123133388689183
33,0.25,0.5,0.01,0.1712351806461811,0.03665795357325212
34,0.25,0.5,0.1,0.2998990133404732,0.005030395477978248
35,0.25,0.5,0.25,0.30334571152925494,0.0016737659902546307
36,0.5,0.1,0.0,0.16649889908730983,0.15218399784732034
37,0.5,0.1,0.0001,0.1449096944183111,0.16428646252618345
38,0.5,0.1,0.001,0.15353698432445526,0.1329013417217147
39,0.5,0.1,0.01,0.1676912736147642,0.0807780634162488
40,0.5,0.1,0.1,0.20973233506083488,0.022684185599621633
41,0.5,0.1,0.25,0.4276000738143921,0.007676911043680577
42,0.5,0.25,0.0,0.15727626122534274,0.15165435252224596
43,0.5,0.25,0.0001,0.1589070100337267,0.14102644276742843
44,0.5,0.25,0.001,0.14920745827257634,0.099810348958261
45,0.5,0.25,0.01,0.1562954593449831,0.07413666780210172
46,0.5,0.25,0.1,0.2385401651263237,0.013893529933570991
47,0.5,0.25,0.25,0.2731672368943691,0.004888768669041128
48,0.5,0.5,0.0,0.12977269738912584,0.14389191211847394
49,0.5,0.5,0.0001,0.13438770547509193,0.13655248796835645
50,0.5,0.5,0.001,0.1554539494216442,0.089691620624439
51,0.5,0.5,0.01,0.14263259060680866,0.04060351309353811
52,0.5,0.5,0.1,0.2754605658352375,0.004684827471340125
53,0.5,0.5,0.25,0.30106950998306276,0.0016792502393162933
