"","Acc","MAPLE-PF","MAPLE-NF","MAPLE-S","LIME-PF","LIME-NF","LIME-S"
"1",0.99,0.013,0.039,0.38,0.1,0.1,0.0024
"2",0.92,0.00061,0.0014,0.0085,0.0035,0.0035,2.4e-05
"11",0.92,0.0054,0.014,0.097,0.012,0.013,0.00075
