"","Acc","MAPLE-PF","MAPLE-NF","MAPLE-S","LIME-PF","LIME-NF","LIME-S"
"1",0.0034,0.0065,0.026,0.27,0.039,0.039,0.0012
"2",0.013,0.00031,0.00079,0.01,0.0037,0.0037,1.2e-05
"11",0.033,0.0024,0.0048,0.044,0.0043,0.0045,0.00012
