,test_acc,variance,maple_standard_metric,maple_causal_metric,maple_stability_metric,lime_standard_metric,lime_causal_metric,lime_stability_metric
autompgs,0.13457147777080536,[0.00634885],[0.01481952],[0.01607291],[0.01149798],[0.03688737],[0.03690552],[0.00096618]
communities,0.46714536100626003,[0.00866961],[0.16916815],[0.31970209],[1.25943226],[0.12105447],[0.12243711],[0.03211705]
day,0.0001210683165481896,[0.0070932],[3.15996279e-05],[4.2813003e-05],[3.17869033e-06],[0.00013927],[0.00014667],[1.73435684e-05]
housing,0.15121779888868334,[0.00812278],[0.0495343],[0.05814184],[0.17460154],[0.12006273],[0.12101209],[0.00403046]
music,0.6844814330339432,[0.00513723],[0.16652832],[0.17358617],[0.06517294],[0.09905768],[0.09927864],[0.01075183]
winequality-red,0.6710070043802262,[0.00532609],[0.01958737],[0.02050595],[0.00576988],[0.04654972],[0.04705565],[0.00207681]
