,test_acc,variance,maple_standard_metric,maple_causal_metric,maple_stability_metric,lime_standard_metric,lime_causal_metric,lime_stability_metric
autompgs,0.03182371782190383,[0.00092067],[0.00743984],[0.00765073],[0.00408376],[0.00854263],[0.0085522],[0.00029621]
communities,0.04687703706613553,[0.00126481],[0.01692084],[0.04164643],[0.3375442],[0.01770098],[0.01793983],[0.00525231]
day,8.517917139352568e-05,[0.00027913],[3.06203567e-05],[3.76235416e-05],[3.17246279e-06],[1.78549545e-05],[2.17158482e-05],[7.44072907e-06]
housing,0.06029210227797683,[0.00206362],[0.02249509],[0.02554337],[0.14198931],[0.0309146],[0.03147414],[0.00129641]
music,0.0947468710538495,[0.00122243],[0.0490987],[0.04968447],[0.04251079],[0.02810646],[0.02845165],[0.00414334]
winequality-red,0.06777122911148926,[0.002287],[0.01515081],[0.01597572],[0.00398734],[0.03126774],[0.03154894],[0.00161912]
