"Dataset","Acc","Standard","Causal","Stability"
"autompgs",0.17829,0.06418,0.06855,0.03986
"communities",0.60105,0.27574,0.42875,1.23963
"crimes",1.0164,0.06407,0.24189,0.86325
"day",0.0021,0.00108,0.0012,0.00051
"happiness",0.00293,0.00086,0.00097,1e-05
"housing",0.16196,0.10685,0.12111,0.22196
"music",0.93253,0.43054,0.44139,0.11642
"winequality-red",0.79594,0.18983,0.19482,0.01727
