,test_acc,variance,maple_standard_metric,maple_causal_metric,maple_stability_metric,lime_standard_metric,lime_causal_metric,lime_stability_metric
autompgs,0.01951999208755578,[0.00053677],[0.00056313],[0.00064066],[0.00049913],[0.00282363],[0.00282567],[2.68282855e-05]
communities,0.03426429549743153,[0.00051373],[0.01444416],[0.04982209],[0.34559879],[0.00711625],[0.00675862],[0.00114994]
day,1.6998467398663161e-06,[0.0001568],[3.27338957e-07],[3.88365444e-07],[4.28055118e-07],[6.5206244e-06],[6.77542011e-06],[3.9669457e-06]
housing,0.04979952052424586,[0.00085592],[0.01266125],[0.01438471],[0.07834554],[0.01725643],[0.01753241],[0.00019264]
music,0.08515006903876367,[0.0003037],[0.03127147],[0.03255851],[0.02403],[0.01097591],[0.01072378],[0.00041135]
winequality-red,0.06247064655904973,[0.0002418],[0.00099562],[0.00102454],[0.00038923],[0.00061692],[0.000618],[1.64047452e-05]
