,Acc,Standard,Causal,Stability
autompgs,0.010219508419305448,0.004323685659731084,0.0035093476313294712,0.5315708329391763
communities,0.7123336544357497,0.4273730145310438,0.2843201558095866,0.23882268940828522
crimes,0.3056602460212989,0.3056934595732586,0.2920417330229911,0.2342941510255936
day,0.08151263841195681,0.09277892836148337,0.04782188027937382,0.15626399630438378
happiness,0.2681895168506555,0.0011291232198482372,0.026313968617807222,0.31315966931168693
housing,0.6181943410852334,0.6475398834820196,0.5223312440127827,0.8806905286216608
music,0.2853185197676725,0.05189313173190752,0.05050837268690191,0.020890529245285085
winequality-red,0.9611926239533507,3.72086753375196e-05,3.131628070645773e-05,0.6535685625388952
