"","Unregularized","Regularized","Regularized1D"
"Accuracy","0.0176","0.0217","0.0242"
"Variance","0.00148","0.00116","0.000515"
"LIME-PF","0.0181","0.0199","0.0119"
"LIME-NF","0.0178","0.0198","0.0117"
"LIME-Stability","0.00759","0.00682","0.00278"
