"","Unregularized","Regularized","Regularized1D"
"Accuracy","0.583","0.557","0.548"
"Variance","0.00915","0.00316","0.00435"
"LIME-PF","0.116","0.0293","0.057"
"LIME-NF","0.117","0.029","0.0575"
"LIME-Stability","0.0368","0.00171","0.0125"
