,test_acc,variance,maple_standard_metric,maple_causal_metric,maple_stability_metric,lime_standard_metric,lime_causal_metric,lime_stability_metric
autompgs,0.02138584249224605,[0.00139094],[0.00931742],[0.01069448],[0.00895328],[0.01279927],[0.01291875],[0.00117326]
communities,0.038281540159543964,[0.00093403],[0.0173641],[0.04079347],[0.20562927],[0.01423373],[0.01376894],[0.00627467]
day,2.208582503381045e-05,[0.00017562],[2.14841226e-05],[2.58738872e-05],[3.98400064e-07],[4.18281164e-05],[4.5691001e-05],[1.86541036e-05]
housing,0.07895177967213765,[0.00191502],[0.02147099],[0.02670427],[0.11782622],[0.03573648],[0.03556058],[0.00134973]
music,0.06161243384505057,[0.00125663],[0.05295993],[0.05420216],[0.04450518],[0.03102888],[0.03102575],[0.00365635]
winequality-red,0.056982416435764995,[0.00284328],[0.01993749],[0.0209951],[0.00319892],[0.0328821],[0.03320094],[0.00261638]
