,test_acc,variance,maple_standard_metric,maple_causal_metric,maple_stability_metric,lime_standard_metric,lime_causal_metric,lime_stability_metric
autompgs,0.12203359417617324,[0.00649235],[0.01407859],[0.01612018],[0.01317624],[0.0354085],[0.03583059],[0.00119535]
communities,0.4643621236085892,[0.00837361],[0.17464222],[0.32170623],[1.16747433],[0.11843437],[0.11964736],[0.02987847]
day,1.6775673789481973e-05,[0.00731266],[1.60648175e-05],[2.57328696e-05],[3.02904701e-07],[0.0001732],[0.00018047],[2.97697456e-05]
housing,0.14988364391028883,[0.00881478],[0.05394391],[0.06463556],[0.21088086],[0.13239221],[0.13239852],[0.00479432]
music,0.6807871967554093,[0.00519069],[0.16902428],[0.17591333],[0.07159481],[0.10238283],[0.10258894],[0.0114875]
winequality-red,0.6712621241807938,[0.00441362],[0.01542472],[0.01612641],[0.0040139],[0.03425826],[0.03449424],[0.00164149]
