,test_acc,variance,maple_standard_metric,maple_causal_metric,maple_stability_metric,lime_standard_metric,lime_causal_metric,lime_stability_metric
autompgs,0.021442333424008888,[0.00078382],[0.00377457],[0.00402898],[0.00505061],[0.0070084],[0.00686271],[0.00028761]
communities,0.03654010398535195,[0.00183068],[0.03158623],[0.05411422],[0.22752251],[0.02589639],[0.02661275],[0.00785266]
day,0.008759190468760872,[0.0008083],[0.00030376],[0.00036107],[0.00065772],[0.00037572],[0.0003935],[4.73250986e-05]
housing,0.071039040634277,[0.0008248],[0.01203991],[0.01335364],[0.06388526],[0.01720679],[0.01663971],[0.00073249]
music,0.07361858737056642,[0.00182972],[0.05406752],[0.05687818],[0.02412237],[0.03934017],[0.03883012],[0.00517486]
winequality-red,0.05763613520396916,[0.00029173],[0.0007363],[0.00076528],[0.00020064],[0.0011163],[0.00112698],[5.18565215e-05]
