"Dataset","Acc","Standard","Causal","Stability"
"autompgs",0.26821,0.18705,0.22717,0.05286
"communities",0.65322,0.27522,0.41565,1.18001
"crimes",0.61365,0.55986,0.74384,0.53348
"day",0.00626,0.00547,0.00734,0.00037
"happiness",0.01283,0.00583,0.00601,5e-05
"housing",0.17194,0.11494,0.12641,0.19466
"music",0.99558,0.48757,0.50034,0.13019
"winequality-red",0.91389,0.34758,0.35772,0.02439
